Method,Correkatuib(Corr),Compression Ratio/%
eha,1.0,0
eha,0.8525,5
eha,0.8734,10
eha,0.8565,15
eha,0.7875,20
eha,0.7658,25
eha,0.7054,30
eha,0.7524,35
eha,0.6415,40
eha,0.5835,45
eha,0.5067,50
eha,0.4057,55
eha,0.3567,60
eha,0.4587,65
eha,0.2565,70
eha,0.4035,75
eha,0.1524,80
eha,0.1015,85
eha,0.0535,90
eha,0.0224,95
eha,0,100
rdh,1.0,0
rdh,0.8625,5
rdh,0.8834,10
rdh,0.8765,15
rdh,0.7965,20
rdh,0.7743,25
rdh,0.7147,30
rdh,0.7256,35
rdh,0.7152,40
rdh,0.5924,45
rdh,0.6034,50
rdh,0.4354,55
rdh,0.4256,60
rdh,0.4023,65
rdh,0.3156,70
rdh,0.4245,75
rdh,0.2045,80
rdh,0.15435,85
rdh,0.1034,90
rdh,0.0557,95
rdh,0,100
mfs,1.0,0
mfs,0.8867,5
mfs,0.8968,10
mfs,0.8475,15
mfs,0.8065,20
mfs,0.8234,25
mfs,0.7235,30
mfs,0.7575,35
mfs,0.7364,40
mfs,0.5965,45
mfs,0.5352,50
mfs,0.5634,55
mfs,0.4342,60
mfs,0.5037,65
mfs,0.3464,70
mfs,0.4556,75
mfs,0.2554,80
mfs,0.1765,85
mfs,0.1154,90
mfs,0.0547,95
mfs,0,100
our method,1.0,0
our method,0.9825,5
our method,0.9768,10
our method,0.9921,15
our method,0.9054,20
our method,0.8521,25
our method,0.8054,30
our method,0.7564,35
our method,0.8065,40
our method,0.7062,45
our method,0.7554,50
our method,0.6575,55
our method,0.5554,60
our method,0.5057,65
our method,0.5641,70
our method,0.4324,75
our method,0.3021,80
our method,0.2015,85
our method,0.1065,90
our method,0.0674,95
our method,0,100

