Method,Hausdorff Distance/$10^{-3}$),k(Embedding Capacity Index $2^{k}$)/b
eha,0,0
eha,0,1
eha,0,2
eha,0,3
eha,1,4
eha,0,5
eha,0,6
eha,0,7
eha,0,8
eha,0,9
eha,2,10
eha,4,11
eha,6,12
eha,7,13
eha,9,14
eha,10,15
eha,11,16
eha,13,17
eha,16,18
eha,18,19
eha,20,20
rdh,0,0
rdh,0,1
rdh,0,2
rdh,0,3
rdh,0,4
rdh,0,5
rdh,0,6
rdh,0,7
rdh,0,8
rdh,0,9
rdh,0,10
rdh,2,11
rdh,4,12
rdh,6,13
rdh,7,14
rdh,9,15
rdh,12,16
rdh,14,17
rdh,17,18
rdh,18,19
rdh,19,20
mfs,0,0
mfs,0,1
mfs,0,2
mfs,0,3
mfs,0,4
mfs,0,5
mfs,0,6
mfs,0,7
mfs,0,8
mfs,0,9
mfs,0,10
mfs,0,11
mfs,2,12
mfs,4,13
mfs,6,14
mfs,7,15
mfs,9,16
mfs,10,17
mfs,11,18
mfs,13,19
mfs,16,20
our method,0,0
our method,0,1
our method,0,2
our method,0,3
our method,0,4
our method,0,5
our method,0,6
our method,0,7
our method,0,8
our method,0,9
our method,0,10
our method,0,11
our method,0,12
our method,2,13
our method,5,14
our method,6,15
our method,7,16
our method,9,17
our method,10,18
our method,12,19
our method,15,20

